Name,Rating,Time,Review Text
"Ayu Mulianih","1 bintang","4 tahun lalu","Sayang sekali produknya belum siap dikirim ke konsumen. Wangali tidak akan berhasil, jadi ini sudah kali ketiga, jadi sudah waktunya bagi kita wkwkwk"
"Charisma Ivan","2 bintang","4 tahun lalu","Menunggu sesuatu dalam waktu lama, bahkan meminta untuk mengambilnya pun membutuhkan waktu lebih lama lagi."
"Erick","1 bintang","setahun lalu","Satu kata, Pukima!"
"lachi bolala","1 bintang","4 tahun lalu",""
"Iqbal GamingYT","1 bintang","4 tahun lalu",""
"Oriani Sailani","1 bintang","4 tahun lalu",""
"Ika 88","1 bintang","4 tahun lalu",""
"William Senewe","1 bintang","4 tahun lalu",""
"Lendy Tambuwun","1 bintang","4 tahun lalu",""
"Ryuga Hobbs","5 bintang","8 bulan lalu",""
"Natanael .R","5 bintang","setahun lalu",""
"Terry Tikoalu","5 bintang","2 tahun lalu",""
"Patricia Frenio Kristanto","1 bintang","2 tahun lalu",""
"Maria Kristiani KTB","1 bintang","3 tahun lalu",""
"Nabilla Dinianty","1 bintang","3 tahun lalu",""
"Hiskia Tamon","1 bintang","3 tahun lalu",""
"Safitra O","1 bintang","3 tahun lalu",""
"putra Kalangie","1 bintang","3 tahun lalu",""
"Lies Sugiyanto","2 bintang","3 tahun lalu",""
"rian wakkary23","5 bintang","3 tahun lalu",""
"Sendi Mona","1 bintang","3 tahun lalu",""
"Lisa Debora","5 bintang","3 tahun lalu",""
"Andreas Batas","1 bintang","3 tahun lalu",""
"HOSSIANA MAJHESTY PRISKILLA MAJAMPOH","1 bintang","4 tahun lalu",""
"Marshal Landeng","1 bintang","4 tahun lalu",""
"Rizma Pailah","1 bintang","4 tahun lalu",""
"Aureliana Tumiwa","5 bintang","4 tahun lalu",""
"Rey","1 bintang","4 tahun lalu",""
"Belinda Taher","1 bintang","4 tahun lalu",""
"Sheren Waney","5 bintang","4 tahun lalu",""
"Jevan Gaming","2 bintang","4 tahun lalu",""
"Oktafian Jacob","5 bintang","4 tahun lalu",""
